Team name,Profile team,Wiki URL,Region,Country,Track,Kind,Section,Application
CUG-China,https://old.igem.org/Team.cgi?team_id=4767,https://2023.igem.wiki/cug-china,Asia,China,Environment,Collegiate,under,Accepted
DKU,https://old.igem.org/Team.cgi?team_id=4587,https://2023.igem.wiki/dku,Asia,China,Agriculture,Collegiate,under,Accepted
DNHS-SanDiego-CA,https://old.igem.org/Team.cgi?team_id=4651,https://2023.igem.wiki/dnhs-sandiego-ca,North America,United States,High School,High School,hs,Accepted
DTU-Denmark,https://old.igem.org/Team.cgi?team_id=4811,https://2023.igem.wiki/dtu-denmark,Europe,Denmark,Environment,Collegiate,over,Accepted
Duesseldorf,https://old.igem.org/Team.cgi?team_id=4706,https://2023.igem.wiki/duesseldorf,Europe,Germany,Agriculture,Collegiate,over,Accepted
Duke,https://old.igem.org/Team.cgi?team_id=4646,https://2023.igem.wiki/duke,North America,United States,Therapeutics,Collegiate,under,Accepted
DUT-China,https://old.igem.org/Team.cgi?team_id=4766,https://2023.igem.wiki/dut-china,Asia,China,Diagnostics,Collegiate,under,Accepted
EastCoastBioCrew,https://old.igem.org/Team.cgi?team_id=4649,https://2023.igem.wiki/eastcoastbiocrew,North America,United States,High School,High School,hs,Accepted
Edinburgh,https://old.igem.org/Team.cgi?team_id=4849,https://2023.igem.wiki/edinburgh,Europe,United Kingdom,Climate Crisis,Collegiate,over,Accepted
EPFL,https://old.igem.org/Team.cgi?team_id=4888,https://2023.igem.wiki/epfl,Europe,Switzerland,Therapeutics,Collegiate,over,Accepted
Estonia-TUIT,https://old.igem.org/Team.cgi?team_id=4917,https://2023.igem.wiki/estonia-tuit,Europe,Estonia,Conservation,Collegiate,over,Accepted
Evry-Paris-Saclay,https://old.igem.org/Team.cgi?team_id=4601,https://2023.igem.wiki/evry-paris-saclay,Europe,France,Therapeutics,Collegiate,over,Accepted
Example,https://old.igem.org/Team.cgi?team_id=4572,https://2023.igem.wiki/example,Europe,France,,Collegiate,over,Accepted
Example-HS,https://old.igem.org/Team.cgi?team_id=4573,https://2023.igem.wiki/example-hs,North America,United States,High School,High School,hs,Accepted
Exeter,https://old.igem.org/Team.cgi?team_id=4694,https://2023.igem.wiki/exeter,Europe,United Kingdom,Therapeutics,Collegiate,under,Accepted
FAU-Erlangen,https://old.igem.org/Team.cgi?team_id=4930,https://2023.igem.wiki/fau-erlangen,Europe,Germany,Diagnostics,Collegiate,over,Accepted
FDR-HBPeru,https://old.igem.org/Team.cgi?team_id=4881,https://2023.igem.wiki/fdr-hbperu,Latin America,Peru,High School,High School,hs,Accepted
Freiburg,https://old.igem.org/Team.cgi?team_id=4604,https://2023.igem.wiki/freiburg,Europe,Germany,Foundational Advance,Collegiate,over,Accepted
FSHS-GD,https://old.igem.org/Team.cgi?team_id=4846,https://2023.igem.wiki/fshs-gd,Asia,China,High School,Commercial,hs,Accepted
FSU,https://old.igem.org/Team.cgi?team_id=4680,https://2023.igem.wiki/fsu,North America,United States,Therapeutics,Collegiate,under,Accepted
Fudan,https://old.igem.org/Team.cgi?team_id=4765,https://2023.igem.wiki/fudan,Asia,China,Environment,Collegiate,under,Accepted
Fujian-United,https://old.igem.org/Team.cgi?team_id=4870,https://2023.igem.wiki/fujian-united,Asia,China,High School,Commercial,hs,Accepted
FZPt-CHINA,https://old.igem.org/Team.cgi?team_id=4688,https://2023.igem.wiki/fzpt-china,Asia,China,Bioremediation,Collegiate,under,Accepted
GEC-CHINA,https://old.igem.org/Team.cgi?team_id=5005,https://2023.igem.wiki/gec-china,Asia,China,High School,Commercial,hs,Accepted
GEC-Guangzhou,https://old.igem.org/Team.cgi?team_id=5001,https://2023.igem.wiki/gec-guangzhou,Asia,China,High School,Commercial,hs,Accepted
